sample_id,task,query,instruction,condition,top_k,output_text,factual_grounding,relevance,readability,completeness,usefulness,reviewer_name
1,summary,What is the purpose of the cell membrane?,"In 1-2 sentences, explain the main purpose of the cell membrane.",baseline,0,Cell membranes are the membranes of the cell.,2,2,3,2,1,reviewer 2
2,summary,What is the purpose of the cell membrane?,"In 1-2 sentences, explain the main purpose of the cell membrane.",k_1,1,Membrane transports materials into or out of the cell,5,4,4,3,3,reviewer 2
3,summary,What is the purpose of the cell membrane?,"In 1-2 sentences, explain the main purpose of the cell membrane.",k_3,3,"Membranes must allow certain substances to enter and leave a cell, and prevent some harmful materials from entering and some essential materials from leaving.",5,5,4,4,5,reviewer 2
4,summary,What is the purpose of the cell membrane?,"In 1-2 sentences, explain the main purpose of the cell membrane.",k_5,5,Summary The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the plasma membrane. The fluid mosaic model of the,3,1,1,1,1,reviewer 2
5,structure_explanation,What is the basic structure of the plasma membrane?,"In 1-2 sentences, describe the basic structure of the plasma membrane.",baseline,0,The plasma membrane is a membrane that is surrounded by a thin layer of lipid.,2,3,3,2,2,reviewer 2
6,structure_explanation,What is the basic structure of the plasma membrane?,"In 1-2 sentences, describe the basic structure of the plasma membrane.",k_1,1,"The plasma membrane is made up primarily of a bilayer of phospholipids with embedded proteins, carbohydrates, glycolipids, glycoproteins, and, in animal cells, cholesterol. The polar ends of the phospholipids are in contact with aqueous fluid inside and outside the cell, making both membrane surfaces hydrophilic. The fatty acid tails form a hydrophobic, nonpolar region in the interior of the membrane. Integral proteins are embedded in the membrane and may span all or part of it. These proteins may serve as channels or pumps that move materials into or out of the cell. Integral and peripheral proteins are located on the exterior or interior surfaces of the membrane and may be attached to integral proteins or phospholipid molecules. Integral and peripheral proteins may function as enzymes, structural attachments, or parts",5,5,3,5,4,reviewer 2
7,structure_explanation,What is the basic structure of the plasma membrane?,"In 1-2 sentences, describe the basic structure of the plasma membrane.",k_3,3,phospholipid bilayer,5,5,5,3,4,reviewer 2
8,structure_explanation,What is the basic structure of the plasma membrane?,"In 1-2 sentences, describe the basic structure of the plasma membrane.",k_5,5,"a bilayer of phospholipids with hydrophobic fatty acid tails facing inward. The polar ends of the phospholipids are in contact with aqueous fluid inside and outside the cell, making both membrane surfaces hydrophilic. The fatty acid tails form a hydrophobic, nonpolar region in the interior of the membrane. This region does not attract water or other polar molecules.",5,5,4,4,4,reviewer 2
9,concept_explanation,What does the fluid mosaic model describe?,"In 1-2 sentences, explain what the fluid mosaic model describes.",baseline,0,The fluid mosaic model describes the fluids in the cellular membrane.,1,2,4,1,1,reviewer 2
10,concept_explanation,What does the fluid mosaic model describe?,"In 1-2 sentences, explain what the fluid mosaic model describes.",k_1,1,"phospholipids, cholesterol, proteins, and carbohydrates",5,4,4,2,3,reviewer 2
